zcta,county,county_name,state_name
01001,25013,Hampden County,Massachusetts
01003,25015,Hampshire County,Massachusetts
01005,25027,Worcester County,Massachusetts
01007,25015,Hampshire County,Massachusetts
01009,25013,Hampden County,Massachusetts
01012,25015,Hampshire County,Massachusetts
01013,25013,Hampden County,Massachusetts
01020,25013,Hampden County,Massachusetts
01022,25013,Hampden County,Massachusetts
01027,25015,Hampshire County,Massachusetts
01028,25013,Hampden County,Massachusetts
01029,25003,Berkshire County,Massachusetts
01030,25013,Hampden County,Massachusetts
01031,25027,Worcester County,Massachusetts
01032,25015,Hampshire County,Massachusetts
01033,25015,Hampshire County,Massachusetts
01034,25013,Hampden County,Massachusetts
01035,25015,Hampshire County,Massachusetts
01036,25013,Hampden County,Massachusetts
01037,25027,Worcester County,Massachusetts
01038,25015,Hampshire County,Massachusetts
01040,25013,Hampden County,Massachusetts
01053,25015,Hampshire County,Massachusetts
01054,25011,Franklin County,Massachusetts
01056,25013,Hampden County,Massachusetts
01057,25013,Hampden County,Massachusetts
01060,25015,Hampshire County,Massachusetts
01062,25015,Hampshire County,Massachusetts
01063,25015,Hampshire County,Massachusetts
01066,25015,Hampshire County,Massachusetts
01068,25027,Worcester County,Massachusetts
01071,25013,Hampden County,Massachusetts
01072,25011,Franklin County,Massachusetts
01073,25015,Hampshire County,Massachusetts
01074,25027,Worcester County,Massachusetts
01075,25015,Hampshire County,Massachusetts
01077,25013,Hampden County,Massachusetts
01079,25013,Hampden County,Massachusetts
01080,25013,Hampden County,Massachusetts
01081,25013,Hampden County,Massachusetts
01083,25027,Worcester County,Massachusetts
01084,25015,Hampshire County,Massachusetts
01085,25013,Hampden County,Massachusetts
01088,25015,Hampshire County,Massachusetts
01089,25013,Hampden County,Massachusetts
01092,25027,Worcester County,Massachusetts
01093,25011,Franklin County,Massachusetts
01094,25027,Worcester County,Massachusetts
01095,25013,Hampden County,Massachusetts
01097,25013,Hampden County,Massachusetts
01098,25015,Hampshire County,Massachusetts
01103,25013,Hampden County,Massachusetts
01104,25013,Hampden County,Massachusetts
01105,25013,Hampden County,Massachusetts
01106,25013,Hampden County,Massachusetts
01107,25013,Hampden County,Massachusetts
01108,25013,Hampden County,Massachusetts
01109,25013,Hampden County,Massachusetts
01118,25013,Hampden County,Massachusetts
01119,25013,Hampden County,Massachusetts
01128,25013,Hampden County,Massachusetts
01129,25013,Hampden County,Massachusetts
01151,25013,Hampden County,Massachusetts
